epoch,aggregation_latency_ms,recovery_latency_ms,aggregation_completeness,loss_exposure_fraction,communication_overhead_KB,system_availability,queue_utilization,recovery_frequency,scheduling_latency_ms,state_refresh_ms,workload_imbalance,processing_overhead_ms,energy_joules,scheduling_comm_kb,recomputation_overhead_ms,reused_microslot_count
0,11.244420,0.002197,1.002649,0.000000,0.000000,1.000000,0.780612,1,0.000558,0.000879,3.778461,11.119261,1.667889,0.000000,0.000000,0.000000
1,11.090730,0.002713,1.002834,0.000000,0.000000,1.000000,0.795232,1,0.000330,0.000805,3.382874,10.978051,1.646708,0.000000,0.000000,0.000000
2,11.546100,0.002052,1.002958,0.000000,0.000000,1.000000,0.809036,1,0.000403,0.001108,3.027212,11.444703,1.716705,0.000000,0.000000,0.000000
3,11.377869,0.002147,1.003123,0.000000,0.000000,1.000000,0.822549,1,0.000605,0.001419,2.711544,11.286463,1.692969,0.000000,0.000000,0.000000
4,11.022896,0.002210,1.003225,0.000000,0.000000,1.000000,0.835315,1,0.000545,0.001155,2.427944,10.940492,1.641074,0.000000,0.000000,0.000000
5,11.384160,0.002335,1.003397,0.000000,0.000000,1.000000,0.845572,1,0.000476,0.001209,2.176184,11.309750,1.696463,0.000000,0.000000,0.000000
6,11.332921,0.002195,1.003515,0.000000,0.000000,1.000000,0.857080,1,0.000695,0.001132,1.948922,11.265763,1.689865,0.000000,0.000000,0.000000
7,11.321886,0.002788,1.003757,0.000000,0.000000,1.000000,0.868097,1,0.000580,0.001440,1.746009,11.261201,1.689180,0.000000,0.000000,0.000000
8,11.152514,0.000000,0.994830,0.000000,0.000000,1.000000,0.877119,0,0.000732,0.001277,1.559180,11.097922,1.664688,0.000000,0.000000,0.000000
9,11.114561,0.000000,0.995643,0.000000,0.000000,1.000000,0.887313,0,0.000577,0.001282,1.397377,11.001959,1.650294,0.000000,0.000000,0.000000
10,11.008764,0.000000,0.996425,0.000000,0.000000,1.000000,0.895872,0,0.000422,0.001330,1.251715,10.871157,1.630674,0.000000,0.000000,0.000000
11,11.132281,0.000000,1.000000,0.000000,0.000000,1.000000,0.904726,0,0.000731,0.001253,1.123250,10.942419,1.641363,0.000000,0.000000,0.000000
12,11.572425,0.000000,0.999744,0.000000,0.000000,1.000000,0.909404,0,0.000543,0.001114,1.003757,11.391820,1.708773,0.000000,0.000000,0.000000
13,11.207914,0.000000,0.998443,0.000000,0.000000,1.000000,0.913892,0,0.000531,0.001112,0.900610,11.006553,1.650983,0.000000,0.000000,0.000000
14,11.098253,0.000000,1.001066,0.000000,0.000000,1.000000,0.919005,0,0.000785,0.001218,0.807728,10.900157,1.635024,0.000000,0.000000,0.000000
15,11.296171,0.000000,1.001279,0.000000,0.000000,1.000000,0.922379,0,0.000588,0.001268,0.730641,11.131813,1.669772,0.000000,0.000000,0.000000
16,11.364891,0.000000,1.001267,0.000000,0.000000,1.000000,0.925758,0,0.000556,0.001388,0.662910,11.220793,1.683119,0.000000,0.000000,0.000000
17,11.333911,0.000000,1.001748,0.000000,0.000000,1.000000,0.929329,0,0.000532,0.001388,0.604576,11.185554,1.677833,0.000000,0.000000,0.000000
18,11.285948,0.000000,1.001952,0.000000,0.000000,1.000000,0.932166,0,0.000535,0.001452,0.555136,11.132585,1.669888,0.000000,0.000000,0.000000
19,11.241042,0.000000,1.002811,0.000000,0.000000,1.000000,0.935174,0,0.000515,0.001290,0.508560,11.051937,1.657791,0.000000,0.000000,0.000000
20,11.078643,0.000000,1.002382,0.000000,0.000000,1.000000,0.937538,0,0.000468,0.001174,0.471640,10.891045,1.633657,0.000000,0.000000,0.000000
21,11.038337,0.000000,1.002169,0.000000,0.000000,1.000000,0.940081,0,0.000665,0.001742,0.443100,10.849226,1.627384,0.000000,0.000000,0.000000
22,11.365377,0.000000,1.002844,0.000000,0.000000,1.000000,0.942563,0,0.000491,0.001396,0.418070,11.145277,1.671792,0.000000,0.000000,0.000000
23,11.309972,0.000000,1.001315,0.000000,0.000000,1.000000,0.944097,0,0.000420,0.001222,0.395457,11.088617,1.663293,0.000000,0.000000,0.000000
24,11.070972,0.000000,1.002947,0.000000,0.000000,1.000000,0.945331,0,0.000672,0.001347,0.373121,10.817129,1.622569,0.000000,0.000000,0.000000
25,11.443056,0.000000,1.002039,0.000000,0.000000,1.000000,0.947211,0,0.000726,0.001733,0.352003,11.216953,1.682543,0.000000,0.000000,0.000000
26,11.456182,0.000000,1.002255,0.000000,0.000000,1.000000,0.949989,0,0.000540,0.001258,0.333973,11.230329,1.684549,0.000000,0.000000,0.000000
27,11.603972,0.000000,1.003102,0.000000,0.000000,1.000000,0.951445,0,0.000766,0.001536,0.315713,11.320625,1.698094,0.000000,0.000000,0.000000
28,11.324547,0.000000,1.002733,0.000000,0.000000,1.000000,0.952615,0,0.000635,0.001305,0.299687,11.040185,1.656028,0.000000,0.000000,0.000000
29,11.258573,0.000000,1.002202,0.000000,0.000000,1.000000,0.954858,0,0.000410,0.001078,0.282011,11.005474,1.650821,0.000000,0.000000,0.000000
30,10.974581,0.002339,1.002649,0.000000,0.000000,1.000000,0.780612,1,0.000627,0.001417,3.778461,10.849416,1.627412,0.000000,0.000000,0.000000
31,11.028540,0.001997,1.002834,0.000000,0.000000,1.000000,0.795232,1,0.000399,0.001121,3.382874,10.915898,1.637385,0.000000,0.000000,0.000000
32,11.286096,0.002344,1.002958,0.000000,0.000000,1.000000,0.809036,1,0.000424,0.001122,3.027212,11.184685,1.677703,0.000000,0.000000,0.000000
33,11.177940,0.002606,1.003123,0.000000,0.000000,1.000000,0.822549,1,0.000478,0.001298,2.711544,11.086514,1.662977,0.000000,0.000000,0.000000
34,11.132223,0.002820,1.003225,0.000000,0.000000,1.000000,0.835315,1,0.000544,0.001267,2.427944,11.049785,1.657468,0.000000,0.000000,0.000000
35,11.323838,0.002252,1.003397,0.000000,0.000000,1.000000,0.845572,1,0.000432,0.001137,2.176184,11.249426,1.687414,0.000000,0.000000,0.000000
36,11.332958,0.002230,1.003515,0.000000,0.000000,1.000000,0.857080,1,0.000667,0.001281,1.948922,11.265800,1.689870,0.000000,0.000000,0.000000
37,11.352648,0.002236,1.003757,0.000000,0.000000,1.000000,0.868097,1,0.000446,0.001279,1.746009,11.291993,1.693799,0.000000,0.000000,0.000000
38,11.312114,0.000000,0.994830,0.000000,0.000000,1.000000,0.877119,0,0.000431,0.001150,1.559180,11.257515,1.688627,0.000000,0.000000,0.000000
39,11.318983,0.000000,0.995643,0.000000,0.000000,1.000000,0.887313,0,0.000712,0.001222,1.397377,11.206378,1.680957,0.000000,0.000000,0.000000
40,11.198616,0.000000,0.996425,0.000000,0.000000,1.000000,0.895872,0,0.000468,0.001148,1.251715,11.061014,1.659152,0.000000,0.000000,0.000000
41,11.058737,0.000000,1.000000,0.000000,0.000000,1.000000,0.904726,0,0.000594,0.001197,1.123250,10.868886,1.630333,0.000000,0.000000,0.000000
42,11.356509,0.000000,0.999744,0.000000,0.000000,1.000000,0.909404,0,0.000618,0.001386,1.003757,11.175901,1.676385,0.000000,0.000000,0.000000
43,11.291404,0.000000,0.998443,0.000000,0.000000,1.000000,0.913892,0,0.000677,0.001350,0.900610,11.090053,1.663508,0.000000,0.000000,0.000000
44,11.232420,0.000000,1.001066,0.000000,0.000000,1.000000,0.919005,0,0.000844,0.001329,0.807728,11.034322,1.655148,0.000000,0.000000,0.000000
45,11.442996,0.000000,1.001279,0.000000,0.000000,1.000000,0.922379,0,0.000463,0.001319,0.730641,11.278645,1.691797,0.000000,0.000000,0.000000
46,11.265178,0.000000,1.001267,0.000000,0.000000,1.000000,0.925758,0,0.000542,0.001123,0.662910,11.121073,1.668161,0.000000,0.000000,0.000000
47,11.402402,0.000000,1.001748,0.000000,0.000000,1.000000,0.929329,0,0.000367,0.001132,0.604576,11.254054,1.688108,0.000000,0.000000,0.000000
48,11.195849,0.000000,1.001952,0.000000,0.000000,1.000000,0.932166,0,0.000788,0.001257,0.555136,11.042488,1.656373,0.000000,0.000000,0.000000
49,11.308899,0.000000,1.002811,0.000000,0.000000,1.000000,0.935174,0,0.000767,0.001416,0.508560,11.119792,1.667969,0.000000,0.000000,0.000000
50,11.248963,0.000000,1.002382,0.000000,0.000000,1.000000,0.937538,0,0.000753,0.001606,0.471640,11.061358,1.659204,0.000000,0.000000,0.000000
51,11.164088,0.000000,1.002169,0.000000,0.000000,1.000000,0.940081,0,0.000610,0.001256,0.443100,10.974979,1.646247,0.000000,0.000000,0.000000
52,11.316312,0.000000,1.002844,0.000000,0.000000,1.000000,0.942563,0,0.000676,0.001092,0.418070,11.096205,1.664431,0.000000,0.000000,0.000000
53,11.297521,0.000000,1.001315,0.000000,0.000000,1.000000,0.944097,0,0.000482,0.001064,0.395457,11.076172,1.661426,0.000000,0.000000,0.000000
54,11.138383,0.000000,1.002947,0.000000,0.000000,1.000000,0.945331,0,0.000540,0.001467,0.373121,10.884534,1.632680,0.000000,0.000000,0.000000
55,11.467697,0.000000,1.002039,0.000000,0.000000,1.000000,0.947211,0,0.000576,0.001294,0.352003,11.241595,1.686239,0.000000,0.000000,0.000000
56,11.478915,0.000000,1.002255,0.000000,0.000000,1.000000,0.949989,0,0.000823,0.001511,0.333973,11.253058,1.687959,0.000000,0.000000,0.000000
57,11.554200,0.000000,1.003102,0.000000,0.000000,1.000000,0.951445,0,0.000789,0.001837,0.315713,11.270835,1.690625,0.000000,0.000000,0.000000
58,11.284665,0.000000,1.002733,0.000000,0.000000,1.000000,0.952615,0,0.000629,0.001231,0.299687,11.000296,1.650044,0.000000,0.000000,0.000000
59,11.241950,0.000000,1.002202,0.000000,0.000000,1.000000,0.954858,0,0.000607,0.001525,0.282011,10.988846,1.648327,0.000000,0.000000,0.000000
60,11.023719,0.002549,1.002649,0.000000,0.000000,1.000000,0.780612,1,0.000539,0.001465,3.778461,10.898538,1.634781,0.000000,0.000000,0.000000
61,10.995530,0.002497,1.002834,0.000000,0.000000,1.000000,0.795232,1,0.000419,0.000783,3.382874,10.882859,1.632429,0.000000,0.000000,0.000000
62,11.473367,0.002188,1.002958,0.000000,0.000000,1.000000,0.809036,1,0.000391,0.001079,3.027212,11.371961,1.705794,0.000000,0.000000,0.000000
63,11.134657,0.002060,1.003123,0.000000,0.000000,1.000000,0.822549,1,0.000401,0.001079,2.711544,11.043257,1.656489,0.000000,0.000000,0.000000
64,11.054225,0.002079,1.003225,0.000000,0.000000,1.000000,0.835315,1,0.000400,0.001240,2.427944,10.971819,1.645773,0.000000,0.000000,0.000000
65,11.495847,0.002175,1.003397,0.000000,0.000000,1.000000,0.845572,1,0.000395,0.001233,2.176184,11.421430,1.713215,0.000000,0.000000,0.000000
66,11.288179,0.002470,1.003515,0.000000,0.000000,1.000000,0.857080,1,0.000657,0.001258,1.948922,11.221010,1.683151,0.000000,0.000000,0.000000
67,11.073753,0.001906,1.003757,0.000000,0.000000,1.000000,0.868097,1,0.000571,0.001138,1.746009,11.013114,1.651967,0.000000,0.000000,0.000000
68,10.917872,0.000000,0.994830,0.000000,0.000000,1.000000,0.877119,0,0.000493,0.001253,1.559180,10.863267,1.629490,0.000000,0.000000,0.000000
69,11.041945,0.000000,0.995643,0.000000,0.000000,1.000000,0.887313,0,0.000445,0.001327,1.397377,10.929342,1.639401,0.000000,0.000000,0.000000
70,10.938668,0.000000,0.996425,0.000000,0.000000,1.000000,0.895872,0,0.000448,0.001500,1.251715,10.801067,1.620160,0.000000,0.000000,0.000000
71,10.957134,0.000000,1.000000,0.000000,0.000000,1.000000,0.904726,0,0.000637,0.001108,1.123250,10.767284,1.615093,0.000000,0.000000,0.000000
72,11.251532,0.000000,0.999744,0.000000,0.000000,1.000000,0.909404,0,0.000376,0.001509,1.003757,11.070928,1.660639,0.000000,0.000000,0.000000
73,11.193982,0.000000,0.998443,0.000000,0.000000,1.000000,0.913892,0,0.000395,0.001202,0.900610,10.992622,1.648893,0.000000,0.000000,0.000000
74,11.130399,0.000000,1.001066,0.000000,0.000000,1.000000,0.919005,0,0.000790,0.001192,0.807728,10.932293,1.639844,0.000000,0.000000,0.000000
75,11.593462,0.000000,1.001279,0.000000,0.000000,1.000000,0.922379,0,0.000563,0.001085,0.730641,11.429097,1.714365,0.000000,0.000000,0.000000
76,11.295871,0.000000,1.001267,0.000000,0.000000,1.000000,0.925758,0,0.000586,0.001381,0.662910,11.151763,1.672765,0.000000,0.000000,0.000000
77,11.204965,0.000000,1.001748,0.000000,0.000000,1.000000,0.929329,0,0.000587,0.001344,0.604576,11.056609,1.658491,0.000000,0.000000,0.000000
78,11.069387,0.000000,1.001952,0.000000,0.000000,1.000000,0.932166,0,0.000466,0.001042,0.555136,10.916030,1.637404,0.000000,0.000000,0.000000
79,11.166002,0.000000,1.002811,0.000000,0.000000,1.000000,0.935174,0,0.000641,0.001138,0.508560,10.976896,1.646534,0.000000,0.000000,0.000000
80,11.044050,0.000000,1.002382,0.000000,0.000000,1.000000,0.937538,0,0.000662,0.001331,0.471640,10.856439,1.628466,0.000000,0.000000,0.000000
81,11.153439,0.000000,1.002169,0.000000,0.000000,1.000000,0.940081,0,0.000558,0.001334,0.443100,10.964341,1.644651,0.000000,0.000000,0.000000
82,11.515104,0.000000,1.002844,0.000000,0.000000,1.000000,0.942563,0,0.000660,0.001184,0.418070,11.295005,1.694251,0.000000,0.000000,0.000000
83,11.400589,0.000000,1.001315,0.000000,0.000000,1.000000,0.944097,0,0.000625,0.001589,0.395457,11.179232,1.676885,0.000000,0.000000,0.000000
84,11.202254,0.000000,1.002947,0.000000,0.000000,1.000000,0.945331,0,0.000602,0.001367,0.373121,10.948389,1.642258,0.000000,0.000000,0.000000
85,11.366685,0.000000,1.002039,0.000000,0.000000,1.000000,0.947211,0,0.000730,0.001071,0.352003,11.140571,1.671086,0.000000,0.000000,0.000000
86,11.263600,0.000000,1.002255,0.000000,0.000000,1.000000,0.949989,0,0.000526,0.001167,0.333973,11.037733,1.655660,0.000000,0.000000,0.000000
87,11.359433,0.000000,1.003102,0.000000,0.000000,1.000000,0.951445,0,0.000724,0.001131,0.315713,11.076078,1.661412,0.000000,0.000000,0.000000
88,11.330636,0.000000,1.002733,0.000000,0.000000,1.000000,0.952615,0,0.000669,0.001389,0.299687,11.046274,1.656941,0.000000,0.000000,0.000000
89,11.285890,0.000000,1.002202,0.000000,0.000000,1.000000,0.954858,0,0.000680,0.001308,0.282011,11.032773,1.654916,0.000000,0.000000,0.000000
90,11.163431,0.002105,1.002649,0.000000,0.000000,1.000000,0.780612,1,0.000396,0.001677,3.778461,11.038277,1.655742,0.000000,0.000000,0.000000
91,11.056137,0.002388,1.002834,0.000000,0.000000,1.000000,0.795232,1,0.000342,0.001026,3.382874,10.943474,1.641521,0.000000,0.000000,0.000000
92,11.560517,0.002760,1.002958,0.000000,0.000000,1.000000,0.809036,1,0.000535,0.001098,3.027212,11.459078,1.718862,0.000000,0.000000,0.000000
93,11.232684,0.002106,1.003123,0.000000,0.000000,1.000000,0.822549,1,0.000425,0.001095,2.711544,11.141283,1.671192,0.000000,0.000000,0.000000
94,11.076066,0.002395,1.003225,0.000000,0.000000,1.000000,0.835315,1,0.000533,0.001255,2.427944,10.993649,1.649047,0.000000,0.000000,0.000000
95,11.182842,0.002078,1.003397,0.000000,0.000000,1.000000,0.845572,1,0.000469,0.001297,2.176184,11.108443,1.666266,0.000000,0.000000,0.000000
96,11.034869,0.001887,1.003515,0.000000,0.000000,1.000000,0.857080,1,0.000519,0.001283,1.948922,10.967732,1.645160,0.000000,0.000000,0.000000
97,11.058111,0.001916,1.003757,0.000000,0.000000,1.000000,0.868097,1,0.000553,0.001139,1.746009,10.997472,1.649621,0.000000,0.000000,0.000000
98,11.105656,0.000000,0.994830,0.000000,0.000000,1.000000,0.877119,0,0.000549,0.001291,1.559180,11.051061,1.657659,0.000000,0.000000,0.000000
99,11.132801,0.000000,0.995643,0.000000,0.000000,1.000000,0.887313,0,0.000520,0.001295,1.397377,11.020196,1.653029,0.000000,0.000000,0.000000
100,11.009886,0.000000,0.996425,0.000000,0.000000,1.000000,0.895872,0,0.000438,0.001114,1.251715,10.872282,1.630842,0.000000,0.000000,0.000000
101,11.067257,0.000000,1.000000,0.000000,0.000000,1.000000,0.904726,0,0.000438,0.001502,1.123250,10.877405,1.631611,0.000000,0.000000,0.000000
102,11.351276,0.000000,0.999744,0.000000,0.000000,1.000000,0.909404,0,0.000473,0.001254,1.003757,11.170662,1.675599,0.000000,0.000000,0.000000
103,11.171311,0.000000,0.998443,0.000000,0.000000,1.000000,0.913892,0,0.000639,0.001263,0.900610,10.969961,1.645494,0.000000,0.000000,0.000000
104,11.072162,0.000000,1.001066,0.000000,0.000000,1.000000,0.919005,0,0.000684,0.001717,0.807728,10.874062,1.631109,0.000000,0.000000,0.000000
105,11.702923,0.000000,1.001279,0.000000,0.000000,1.000000,0.922379,0,0.000595,0.001222,0.730641,11.538570,1.730785,0.000000,0.000000,0.000000
106,11.385936,0.000000,1.001267,0.000000,0.000000,1.000000,0.925758,0,0.000438,0.001131,0.662910,11.241834,1.686275,0.000000,0.000000,0.000000
107,11.287026,0.000000,1.001748,0.000000,0.000000,1.000000,0.929329,0,0.000643,0.001409,0.604576,11.138679,1.670802,0.000000,0.000000,0.000000
108,11.123941,0.000000,1.001952,0.000000,0.000000,1.000000,0.932166,0,0.000694,0.001490,0.555136,10.970590,1.645589,0.000000,0.000000,0.000000
109,11.369354,0.000000,1.002811,0.000000,0.000000,1.000000,0.935174,0,0.000623,0.001422,0.508560,11.180251,1.677038,0.000000,0.000000,0.000000
110,11.222734,0.000000,1.002382,0.000000,0.000000,1.000000,0.937538,0,0.000632,0.001326,0.471640,11.035136,1.655270,0.000000,0.000000,0.000000
111,11.065152,0.000000,1.002169,0.000000,0.000000,1.000000,0.940081,0,0.000612,0.001118,0.443100,10.876041,1.631406,0.000000,0.000000,0.000000
112,11.365864,0.000000,1.002844,0.000000,0.000000,1.000000,0.942563,0,0.000555,0.001467,0.418070,11.145759,1.671864,0.000000,0.000000,0.000000
113,11.424860,0.000000,1.001315,0.000000,0.000000,1.000000,0.944097,0,0.000689,0.001318,0.395457,11.203504,1.680526,0.000000,0.000000,0.000000
114,11.296780,0.000000,1.002947,0.000000,0.000000,1.000000,0.945331,0,0.000692,0.001566,0.373121,11.042924,1.656439,0.000000,0.000000,0.000000
115,11.489074,0.000000,1.001590,0.000000,0.000000,1.000000,0.947211,0,0.000727,0.001364,0.352003,11.262969,1.689445,0.000000,0.000000,0.000000
116,11.262455,0.000000,1.002646,0.000000,0.000000,1.000000,0.948667,0,0.000739,0.001318,0.334372,11.007360,1.651104,0.000000,0.000000,0.000000
117,11.331452,0.000000,1.002894,0.000000,0.000000,1.000000,0.951048,0,0.000704,0.001359,0.315789,11.078845,1.661827,0.000000,0.000000,0.000000
118,11.285679,0.000000,1.003082,0.000000,0.000000,1.000000,0.952330,0,0.000531,0.001203,0.299519,11.001323,1.650198,0.000000,0.000000,0.000000
119,11.364287,0.000000,1.002202,0.000000,0.000000,1.000000,0.954377,0,0.000639,0.001289,0.282279,11.116178,1.667427,0.000000,0.000000,0.000000
120,11.080767,0.002932,1.002649,0.000000,0.000000,1.000000,0.780612,1,0.000541,0.001463,3.778461,10.955574,1.643336,0.000000,0.000000,0.000000
