epoch,aggregation_latency_ms,recovery_latency_ms,aggregation_completeness,loss_exposure_fraction,communication_overhead_KB,system_availability,queue_utilization,recovery_frequency,scheduling_latency_ms,state_refresh_ms,workload_imbalance,processing_overhead_ms,energy_joules,scheduling_comm_kb,recomputation_overhead_ms,reused_microslot_count
0,11.268782,0.002557,1.002649,0.000000,0.000000,1.000000,0.789098,1,0.000499,0.000926,2.584049,11.143606,1.671541,0.000000,0.000000,0.000000
1,11.229265,0.002213,1.002834,0.000000,0.000000,1.000000,0.804723,1,0.000400,0.000891,2.306453,11.116609,1.667491,0.000000,0.000000,0.000000
2,11.284618,0.002264,1.002958,0.000000,0.000000,1.000000,0.819429,1,0.000384,0.001324,2.056752,11.183211,1.677482,0.000000,0.000000,0.000000
3,11.063627,0.002042,1.003123,0.000000,0.000000,1.000000,0.833613,1,0.000424,0.001405,1.835053,10.972230,1.645835,0.000000,0.000000,0.000000
4,10.896648,0.002092,1.003225,0.000000,0.000000,1.000000,0.847046,1,0.000445,0.001291,1.635788,10.814249,1.622137,0.000000,0.000000,0.000000
5,11.398635,0.002273,1.003397,0.000000,0.000000,1.000000,0.857930,1,0.000374,0.001511,1.458539,11.324225,1.698634,0.000000,0.000000,0.000000
6,11.277961,0.002259,1.003515,0.000000,0.000000,1.000000,0.869816,1,0.000469,0.001081,1.298640,11.210804,1.681621,0.000000,0.000000,0.000000
7,11.068992,0.002002,1.003757,0.000000,0.000000,1.000000,0.879972,1,0.000447,0.001353,1.155322,11.008350,1.651253,0.000000,0.000000,0.000000
8,10.898465,0.000000,0.994830,0.000000,0.000000,1.000000,0.890407,0,0.000447,0.001224,1.023810,10.843852,1.626578,0.000000,0.000000,0.000000
9,10.928324,0.000000,0.995643,0.000000,0.000000,1.000000,0.900601,0,0.000542,0.001330,0.909842,10.815733,1.622360,0.000000,0.000000,0.000000
10,11.054954,0.000000,0.996425,0.000000,0.000000,1.000000,0.909316,0,0.000541,0.001243,0.806917,10.917343,1.637601,0.000000,0.000000,0.000000
