epoch,aggregation_latency_ms,recovery_latency_ms,aggregation_completeness,loss_exposure_fraction,communication_overhead_KB,system_availability,queue_utilization,recovery_frequency,scheduling_latency_ms,state_refresh_ms,workload_imbalance,processing_overhead_ms,energy_joules,scheduling_comm_kb,recomputation_overhead_ms,reused_microslot_count
0,10.147689,0.003250,1.000482,0.000000,0.000000,1.000000,0.771832,1,0.000234,0.001819,4.927635,10.022569,1.503385,1.406250,0.000000,0.000000
1,10.094998,0.003236,1.000570,0.000000,0.000000,1.000000,0.783556,1,0.000125,0.001974,4.425752,9.982320,1.497348,1.406250,0.000000,0.000000
2,10.367170,0.003275,1.000658,0.000000,0.000000,1.000000,0.795471,1,0.000113,0.002229,3.973355,10.265712,1.539857,1.406250,0.000000,0.000000
3,10.137911,0.002723,1.000747,0.000000,0.000000,1.000000,0.806998,1,0.000208,0.002574,3.566063,10.046576,1.506986,1.406250,0.000000,0.000000
4,10.204961,0.003269,1.000814,0.000000,0.000000,1.000000,0.817659,1,0.000182,0.002286,3.199493,10.122722,1.518408,1.406250,0.000000,0.000000
5,10.401018,0.002868,1.000906,0.000000,0.000000,1.000000,0.827992,1,0.000189,0.002451,2.873376,10.326897,1.549035,1.406250,0.000000,0.000000
6,10.146749,0.003116,1.001009,0.000000,0.000000,1.000000,0.838107,1,0.000190,0.002206,2.579029,10.079964,1.511995,1.406250,0.000000,0.000000
7,10.184657,0.003005,1.001095,0.000000,0.000000,1.000000,0.846765,1,0.000344,0.002197,2.311779,10.124541,1.518681,1.406250,0.000000,0.000000
8,10.076509,0.003514,1.001155,0.000000,0.000000,1.000000,0.855215,1,0.000188,0.002374,2.071855,10.022377,1.503357,1.406250,0.000000,0.000000
9,10.048703,0.003267,1.001225,0.000000,0.000000,1.000000,0.862889,1,0.000243,0.001912,1.859156,9.999913,1.499987,1.406250,0.000000,0.000000
10,9.995915,0.002776,1.001314,0.000000,0.000000,1.000000,0.869217,1,0.000255,0.002012,1.669094,9.951915,1.492787,1.406250,0.000000,0.000000
11,9.950175,0.002802,1.001381,0.000000,0.000000,1.000000,0.876042,1,0.000131,0.002477,1.497661,9.910503,1.486576,1.406250,0.000000,0.000000
