epoch,aggregation_latency_ms,recovery_latency_ms,aggregation_completeness,loss_exposure_fraction,communication_overhead_KB,system_availability,queue_utilization,recovery_frequency,scheduling_latency_ms,state_refresh_ms,workload_imbalance,processing_overhead_ms,energy_joules,scheduling_comm_kb,recomputation_overhead_ms,reused_microslot_count
0,10.155261,0.002047,1.001253,0.000000,0.000000,1.000000,0.776267,1,0.000357,0.001394,3.969990,10.030149,1.504522,0.937500,0.000000,0.000000
1,10.099079,0.002080,1.001363,0.000000,0.000000,1.000000,0.791327,1,0.000075,0.001498,3.558601,9.986462,1.497969,0.937500,0.000000,0.000000
2,10.365412,0.001692,1.001460,0.000000,0.000000,1.000000,0.805113,1,0.000211,0.001387,3.191352,10.263975,1.539596,0.937500,0.000000,0.000000
3,10.223381,0.002132,1.001598,0.000000,0.000000,1.000000,0.818627,1,0.000168,0.001481,2.862851,10.131935,1.519790,0.937500,0.000000,0.000000
4,10.065367,0.002344,1.001726,0.000000,0.000000,1.000000,0.830092,1,0.000096,0.001239,2.567429,9.982911,1.497437,0.937500,0.000000,0.000000
5,10.476989,0.002303,1.001839,0.000000,0.000000,1.000000,0.841514,1,0.000186,0.001380,2.299827,10.402697,1.560405,0.937500,0.000000,0.000000
6,10.338126,0.002446,1.001999,0.000000,0.000000,1.000000,0.852065,1,0.000187,0.001651,2.059976,10.271166,1.540675,0.937500,0.000000,0.000000
7,10.360148,0.002190,1.002099,0.000000,0.000000,1.000000,0.860837,1,0.000228,0.001611,1.842278,10.299853,1.544978,0.937500,0.000000,0.000000
8,10.124479,0.002026,1.002173,0.000000,0.000000,1.000000,0.870437,1,0.000190,0.001508,1.647213,10.070199,1.510530,0.937500,0.000000,0.000000
9,10.143075,0.002442,1.002294,0.000000,0.000000,1.000000,0.878397,1,0.000188,0.001482,1.474261,10.094102,1.514115,0.937500,0.000000,0.000000
10,10.078607,0.002271,1.002379,0.000000,0.000000,1.000000,0.886453,1,0.000263,0.001364,1.318473,10.008989,1.501348,0.937500,0.000000,0.000000
11,10.076012,0.002841,1.002416,0.000000,0.000000,1.000000,0.893924,1,0.000180,0.001637,1.179711,9.986539,1.497981,0.937500,0.000000,0.000000
12,10.406376,0.000000,0.996465,0.000000,0.000000,1.000000,0.899867,0,0.000204,0.001764,1.057574,10.275932,1.541390,0.937500,0.000000,0.000000
13,10.301218,0.000000,0.997022,0.000000,0.000000,1.000000,0.906471,0,0.000221,0.001458,0.947654,10.133123,1.519968,0.937500,0.000000,0.000000
14,10.269381,0.000000,0.997558,0.000000,0.000000,1.000000,0.912177,0,0.000325,0.001429,0.849252,10.084785,1.512718,0.937500,0.000000,0.000000
15,10.558607,0.000000,0.998062,0.000000,0.000000,1.000000,0.917732,0,0.000190,0.001393,0.762900,10.339844,1.550977,0.937500,0.000000,0.000000
16,10.376897,0.000000,0.998545,0.000000,0.000000,1.000000,0.922887,0,0.000390,0.001950,0.688462,10.142965,1.521445,0.937500,0.000000,0.000000
