epoch,aggregation_latency_ms,recovery_latency_ms,aggregation_completeness,loss_exposure_fraction,communication_overhead_KB,system_availability,queue_utilization,recovery_frequency,scheduling_latency_ms,state_refresh_ms,workload_imbalance,processing_overhead_ms,energy_joules,scheduling_comm_kb,recomputation_overhead_ms,reused_microslot_count
0,10.139950,0.001758,1.001748,0.000000,0.000000,1.000000,0.779133,1,0.000209,0.000985,3.596840,10.014837,1.502225,0.781250,0.000000,0.000000
1,10.146576,0.001872,1.001911,0.000000,0.000000,1.000000,0.794073,1,0.000206,0.001388,3.224112,10.033847,1.505077,0.781250,0.000000,0.000000
2,10.331518,0.001602,1.002033,0.000000,0.000000,1.000000,0.807986,1,0.000162,0.001685,2.887719,10.229988,1.534498,0.781250,0.000000,0.000000
3,10.254078,0.001739,1.002174,0.000000,0.000000,1.000000,0.820889,1,0.000160,0.001541,2.587667,10.162565,1.524385,0.781250,0.000000,0.000000
4,10.180494,0.001916,1.002353,0.000000,0.000000,1.000000,0.833389,1,0.000301,0.001340,2.318035,10.097972,1.514696,0.781250,0.000000,0.000000
5,10.424780,0.001731,1.002501,0.000000,0.000000,1.000000,0.845273,1,0.000374,0.001393,2.072818,10.350469,1.552570,0.781250,0.000000,0.000000
6,10.282107,0.001621,1.002602,0.000000,0.000000,1.000000,0.856927,1,0.000166,0.001244,1.852164,10.215198,1.532280,0.781250,0.000000,0.000000
7,10.292509,0.001431,1.002761,0.000000,0.000000,1.000000,0.866852,1,0.000180,0.001392,1.655730,10.232207,1.534831,0.781250,0.000000,0.000000
8,10.179323,0.001819,1.002883,0.000000,0.000000,1.000000,0.876688,1,0.000104,0.001885,1.477957,10.125006,1.518751,0.781250,0.000000,0.000000
9,10.162484,0.001597,1.002952,0.000000,0.000000,1.000000,0.883888,1,0.000165,0.001289,1.318194,10.113577,1.517037,0.781250,0.000000,0.000000
10,10.096374,0.001432,1.003124,0.000000,0.000000,1.000000,0.892164,1,0.000166,0.001520,1.177441,9.997470,1.499620,0.781250,0.000000,0.000000
11,10.122275,0.000000,0.996411,0.000000,0.000000,1.000000,0.900544,0,0.000185,0.001457,1.049785,10.002179,1.500327,0.781250,0.000000,0.000000
12,10.539157,0.000000,0.997040,0.000000,0.000000,1.000000,0.907391,0,0.000164,0.001792,0.940308,10.374462,1.556169,0.781250,0.000000,0.000000
13,10.405801,0.000000,0.997575,0.000000,0.000000,1.000000,0.914191,0,0.000162,0.001418,0.843962,10.199310,1.529896,0.781250,0.000000,0.000000
14,10.280279,0.000000,0.999537,0.000000,0.000000,1.000000,0.921000,0,0.000205,0.001380,0.755155,10.055381,1.508307,0.781250,0.000000,0.000000
15,10.592017,0.000000,0.998655,0.000000,0.000000,1.000000,0.924733,0,0.000163,0.001214,0.678557,10.369915,1.555487,0.781250,0.000000,0.000000
16,10.528241,0.000000,1.000180,0.000000,0.000000,1.000000,0.929279,0,0.000171,0.001286,0.610326,10.288348,1.543252,0.781250,0.000000,0.000000
17,10.479316,0.000000,1.000776,0.000000,0.000000,1.000000,0.933072,0,0.000167,0.001454,0.554573,10.262020,1.539303,0.781250,0.000000,0.000000
18,10.357649,0.000000,0.999907,0.000000,0.000000,1.000000,0.936079,0,0.000406,0.001732,0.505863,10.184158,1.527624,0.781250,0.000000,0.000000
19,10.432697,0.000000,1.001431,0.000000,0.000000,1.000000,0.938489,0,0.000173,0.001590,0.465032,10.235401,1.535310,0.781250,0.000000,0.000000
20,10.368924,0.000000,1.001625,0.000000,0.000000,1.000000,0.940808,0,0.000185,0.001387,0.430729,10.195419,1.529313,0.781250,0.000000,0.000000
21,10.314429,0.000000,1.002257,0.000000,0.000000,1.000000,0.943431,0,0.000193,0.001042,0.399414,10.115724,1.517359,0.781250,0.000000,0.000000
22,10.777313,0.000000,1.001790,0.000000,0.000000,1.000000,0.945170,0,0.000391,0.001040,0.374811,10.579985,1.586998,0.781250,0.000000,0.000000
23,10.505461,0.000000,1.001670,0.000000,0.000000,1.000000,0.947114,0,0.000212,0.001145,0.355009,10.281368,1.542205,0.781250,0.000000,0.000000
24,10.492951,0.000000,1.002331,0.000000,0.000000,1.000000,0.949276,0,0.000320,0.001829,0.335476,10.242856,1.536428,0.781250,0.000000,0.000000
25,10.786255,0.000000,1.002653,0.000000,0.000000,1.000000,0.951221,0,0.000343,0.001389,0.317759,10.541563,1.581235,0.781250,0.000000,0.000000
26,10.641816,0.000000,1.001594,0.000000,0.000000,1.000000,0.952769,0,0.000185,0.001508,0.300100,10.395915,1.559387,0.781250,0.000000,0.000000
27,10.631947,0.000000,1.002494,0.000000,0.000000,1.000000,0.954974,0,0.000201,0.001186,0.284205,10.409054,1.561358,0.781250,0.000000,0.000000
28,10.470056,0.000000,1.002177,0.000000,0.000000,1.000000,0.956420,0,0.000306,0.001435,0.269888,10.194159,1.529124,0.781250,0.000000,0.000000
29,10.575010,0.000000,1.001563,0.000000,0.000000,1.000000,0.958325,0,0.000355,0.001589,0.257003,10.278114,1.541717,0.781250,0.000000,0.000000
30,10.181153,0.001693,1.001748,0.000000,0.000000,1.000000,0.779133,1,0.000186,0.001848,3.596840,10.056036,1.508405,0.781250,0.000000,0.000000
31,10.150424,0.001726,1.001911,0.000000,0.000000,1.000000,0.794073,1,0.000297,0.001617,3.224112,10.037698,1.505655,0.781250,0.000000,0.000000
32,10.475887,0.001660,1.002033,0.000000,0.000000,1.000000,0.807986,1,0.000164,0.001450,2.887719,10.374361,1.556154,0.781250,0.000000,0.000000
33,10.356020,0.001743,1.002174,0.000000,0.000000,1.000000,0.820889,1,0.000181,0.001471,2.587667,10.264500,1.539675,0.781250,0.000000,0.000000
34,10.172347,0.001625,1.002353,0.000000,0.000000,1.000000,0.833389,1,0.000165,0.001530,2.318035,10.089837,1.513476,0.781250,0.000000,0.000000
35,10.458878,0.001488,1.002501,0.000000,0.000000,1.000000,0.845273,1,0.000170,0.001617,2.072818,10.384571,1.557686,0.781250,0.000000,0.000000
36,10.286234,0.001957,1.002602,0.000000,0.000000,1.000000,0.856927,1,0.000175,0.001493,1.852164,10.219311,1.532897,0.781250,0.000000,0.000000
37,10.474516,0.001860,1.002761,0.000000,0.000000,1.000000,0.866852,1,0.000165,0.001348,1.655730,10.414194,1.562129,0.781250,0.000000,0.000000
38,10.389695,0.001869,1.002883,0.000000,0.000000,1.000000,0.876688,1,0.000429,0.001819,1.477957,10.335362,1.550304,0.781250,0.000000,0.000000
39,10.296826,0.001848,1.002952,0.000000,0.000000,1.000000,0.883888,1,0.000169,0.001428,1.318194,10.247904,1.537186,0.781250,0.000000,0.000000
40,10.223635,0.002384,1.003124,0.000000,0.000000,1.000000,0.892164,1,0.000184,0.001427,1.177441,10.124690,1.518703,0.781250,0.000000,0.000000
41,10.211031,0.000000,0.996411,0.000000,0.000000,1.000000,0.900544,0,0.000162,0.001486,1.049785,10.090933,1.513640,0.781250,0.000000,0.000000
42,10.576904,0.000000,0.997040,0.000000,0.000000,1.000000,0.907391,0,0.000326,0.001612,0.940308,10.412210,1.561831,0.781250,0.000000,0.000000
43,10.491229,0.000000,0.997575,0.000000,0.000000,1.000000,0.914191,0,0.000188,0.001845,0.843962,10.284727,1.542709,0.781250,0.000000,0.000000
44,10.257284,0.000000,0.998155,0.000000,0.000000,1.000000,0.921000,0,0.000419,0.001026,0.755155,10.032385,1.504858,0.781250,0.000000,0.000000
45,10.645126,0.000000,0.999963,0.000000,0.000000,1.000000,0.925545,0,0.000312,0.001983,0.679604,10.402036,1.560305,0.781250,0.000000,0.000000
46,10.488171,0.000000,1.000180,0.000000,0.000000,1.000000,0.929012,0,0.000181,0.001733,0.610445,10.248278,1.537242,0.781250,0.000000,0.000000
47,10.505852,0.000000,1.000776,0.000000,0.000000,1.000000,0.932805,0,0.000235,0.001542,0.554704,10.288555,1.543283,0.781250,0.000000,0.000000
