epoch,aggregation_latency_ms,recovery_latency_ms,aggregation_completeness,loss_exposure_fraction,communication_overhead_KB,system_availability,queue_utilization,recovery_frequency,scheduling_latency_ms,state_refresh_ms,workload_imbalance,processing_overhead_ms,energy_joules,scheduling_comm_kb,recomputation_overhead_ms,reused_microslot_count
0,10.133450,0.002571,1.000659,0.000000,0.000000,1.000000,0.773761,1,0.000244,0.001819,4.629822,10.008341,1.501251,1.250000,0.000000,0.000000
1,10.082565,0.003140,1.000757,0.000000,0.000000,1.000000,0.787164,1,0.000234,0.002227,4.154583,9.969937,1.495490,1.250000,0.000000,0.000000
2,10.367021,0.002960,1.000855,0.000000,0.000000,1.000000,0.800354,1,0.000191,0.002245,3.727119,10.265648,1.539847,1.250000,0.000000,0.000000
3,10.223060,0.002317,1.000928,0.000000,0.000000,1.000000,0.813090,1,0.000184,0.001764,3.342692,10.131832,1.519775,1.250000,0.000000,0.000000
4,10.122022,0.002842,1.001028,0.000000,0.000000,1.000000,0.824905,1,0.000182,0.001941,3.001406,10.039777,1.505967,1.250000,0.000000,0.000000
5,10.412553,0.003098,1.001141,0.000000,0.000000,1.000000,0.835322,1,0.000176,0.002079,2.693514,10.338425,1.550764,1.250000,0.000000,0.000000
6,10.251795,0.002849,1.001232,0.000000,0.000000,1.000000,0.845709,1,0.000259,0.002217,2.414572,10.185047,1.527757,1.250000,0.000000,0.000000
7,10.252475,0.003040,1.001338,0.000000,0.000000,1.000000,0.854426,1,0.000124,0.002483,2.164308,10.192348,1.528852,1.250000,0.000000,0.000000
8,10.187948,0.002787,1.001420,0.000000,0.000000,1.000000,0.863060,1,0.000353,0.002753,1.938272,10.133825,1.520074,1.250000,0.000000,0.000000
9,10.146881,0.002643,1.001467,0.000000,0.000000,1.000000,0.871393,1,0.000262,0.002480,1.736485,10.098139,1.514721,1.250000,0.000000,0.000000
10,9.980149,0.002562,1.001597,0.000000,0.000000,1.000000,0.878430,1,0.000203,0.002020,1.558674,9.936158,1.490424,1.250000,0.000000,0.000000
11,9.989320,0.002631,1.001643,0.000000,0.000000,1.000000,0.885430,1,0.000186,0.002375,1.395779,9.927578,1.489137,1.250000,0.000000,0.000000
12,10.390298,0.002534,1.001724,0.000000,0.000000,1.000000,0.891782,1,0.000182,0.001826,1.252352,10.291808,1.543771,1.250000,0.000000,0.000000
13,10.233011,0.002639,1.001775,0.000000,0.000000,1.000000,0.896480,1,0.000315,0.002058,1.123393,10.119395,1.517909,1.250000,0.000000,0.000000
14,10.158622,0.003137,1.001880,0.000000,0.000000,1.000000,0.901215,1,0.000187,0.001898,1.009350,10.030366,1.504555,1.250000,0.000000,0.000000
15,10.450328,0.000000,0.997437,0.000000,0.000000,1.000000,0.906088,0,0.000186,0.001985,0.905755,10.291727,1.543759,1.250000,0.000000,0.000000
16,10.374622,0.000000,0.997895,0.000000,0.000000,1.000000,0.910436,0,0.000187,0.002149,0.816955,10.202894,1.530434,1.250000,0.000000,0.000000
17,10.370658,0.000000,0.998238,0.000000,0.000000,1.000000,0.914603,0,0.000200,0.001786,0.738616,10.171805,1.525771,1.250000,0.000000,0.000000
18,10.312258,0.000000,0.998577,0.000000,0.000000,1.000000,0.918650,0,0.000206,0.002313,0.666395,10.088036,1.513205,1.250000,0.000000,0.000000
19,10.323836,0.000000,0.998968,0.000000,0.000000,1.000000,0.922029,0,0.000486,0.002037,0.604248,10.088360,1.513254,1.250000,0.000000,0.000000
20,10.215377,0.000000,0.999261,0.000000,0.000000,1.000000,0.925246,0,0.000204,0.001976,0.552522,9.968773,1.495316,1.250000,0.000000,0.000000
21,10.219569,0.000000,0.999545,0.000000,0.000000,1.000000,0.928308,0,0.000323,0.002144,0.506910,9.974468,1.496170,1.250000,0.000000,0.000000
22,10.516263,0.000000,0.999815,0.000000,0.000000,1.000000,0.931233,0,0.000253,0.002090,0.467495,10.272529,1.540879,1.250000,0.000000,0.000000
23,10.350348,0.000000,1.000705,0.000000,0.000000,1.000000,0.934074,0,0.000483,0.002128,0.434360,10.119502,1.517925,1.250000,0.000000,0.000000
24,10.223109,0.000000,1.000813,0.000000,0.000000,1.000000,0.935584,0,0.000228,0.002126,0.406477,10.005383,1.500807,1.250000,0.000000,0.000000
25,10.446082,0.000000,1.000885,0.000000,0.000000,1.000000,0.937099,0,0.000200,0.002369,0.384170,10.241106,1.536166,1.250000,0.000000,0.000000
26,10.377190,0.000000,1.000801,0.000000,0.000000,1.000000,0.938582,0,0.000212,0.001796,0.366975,10.157967,1.523695,1.250000,0.000000,0.000000
27,10.415267,0.000000,1.000574,0.000000,0.000000,1.000000,0.940104,0,0.000313,0.001701,0.352521,10.182290,1.527344,1.250000,0.000000,0.000000
28,10.342539,0.000000,1.000992,0.000000,0.000000,1.000000,0.941752,0,0.000463,0.002285,0.338977,10.096312,1.514447,1.250000,0.000000,0.000000
29,10.293510,0.000000,1.000417,0.000000,0.000000,1.000000,0.943329,0,0.000203,0.001635,0.326067,10.034411,1.505162,1.250000,0.000000,0.000000
30,10.134173,0.003306,1.000659,0.000000,0.000000,1.000000,0.773761,1,0.000238,0.003072,4.629822,10.009039,1.501356,1.250000,0.000000,0.000000
31,10.252637,0.003086,1.000757,0.000000,0.000000,1.000000,0.787164,1,0.000199,0.001918,4.154583,10.140007,1.521001,1.250000,0.000000,0.000000
32,10.342232,0.002761,1.000855,0.000000,0.000000,1.000000,0.800354,1,0.000207,0.001819,3.727119,10.240861,1.536129,1.250000,0.000000,0.000000
33,10.166273,0.003045,1.000928,0.000000,0.000000,1.000000,0.813090,1,0.000183,0.001932,3.342692,10.075019,1.511253,1.250000,0.000000,0.000000
34,10.058607,0.002622,1.001028,0.000000,0.000000,1.000000,0.824905,1,0.000125,0.002094,3.001406,9.976365,1.496455,1.250000,0.000000,0.000000
35,10.337340,0.002639,1.001141,0.000000,0.000000,1.000000,0.835322,1,0.000206,0.002216,2.693514,10.263223,1.539483,1.250000,0.000000,0.000000
36,10.213310,0.002700,1.001232,0.000000,0.000000,1.000000,0.845709,1,0.000241,0.001870,2.414572,10.146568,1.521985,1.250000,0.000000,0.000000
37,10.255384,0.002522,1.001338,0.000000,0.000000,1.000000,0.854426,1,0.000238,0.002566,2.164308,10.195268,1.529290,1.250000,0.000000,0.000000
38,10.195246,0.002886,1.001420,0.000000,0.000000,1.000000,0.863060,1,0.000190,0.002116,1.938272,10.141124,1.521169,1.250000,0.000000,0.000000
39,10.080275,0.002381,1.001467,0.000000,0.000000,1.000000,0.871393,1,0.000450,0.001926,1.736485,10.031544,1.504732,1.250000,0.000000,0.000000
40,9.990509,0.002583,1.001597,0.000000,0.000000,1.000000,0.878430,1,0.000212,0.002504,1.558674,9.946523,1.491978,1.250000,0.000000,0.000000
41,9.937390,0.002633,1.001643,0.000000,0.000000,1.000000,0.885430,1,0.000217,0.001630,1.395779,9.875648,1.481347,1.250000,0.000000,0.000000
42,10.305722,0.002771,1.001724,0.000000,0.000000,1.000000,0.891782,1,0.000207,0.001928,1.252352,10.207228,1.531084,1.250000,0.000000,0.000000
43,10.172902,0.002626,1.001775,0.000000,0.000000,1.000000,0.896480,1,0.000189,0.002159,1.123393,10.059287,1.508893,1.250000,0.000000,0.000000
44,10.280313,0.002854,1.001880,0.000000,0.000000,1.000000,0.901215,1,0.000181,0.002262,1.009350,10.152069,1.522810,1.250000,0.000000,0.000000
45,10.484015,0.000000,0.997437,0.000000,0.000000,1.000000,0.906088,0,0.000187,0.002171,0.905755,10.325409,1.548811,1.250000,0.000000,0.000000
46,10.275022,0.000000,0.997895,0.000000,0.000000,1.000000,0.910436,0,0.000213,0.001884,0.816955,10.103294,1.515494,1.250000,0.000000,0.000000
47,10.362559,0.000000,0.998238,0.000000,0.000000,1.000000,0.914603,0,0.000359,0.003151,0.738616,10.163713,1.524557,1.250000,0.000000,0.000000
48,10.293943,0.000000,0.998577,0.000000,0.000000,1.000000,0.918650,0,0.000305,0.001875,0.666395,10.069717,1.510458,1.250000,0.000000,0.000000
49,10.258270,0.000000,0.998968,0.000000,0.000000,1.000000,0.922029,0,0.000200,0.002081,0.604248,10.022795,1.503419,1.250000,0.000000,0.000000
50,10.164686,0.000000,0.999261,0.000000,0.000000,1.000000,0.925246,0,0.000249,0.002523,0.552522,9.918086,1.487713,1.250000,0.000000,0.000000
