epoch,aggregation_latency_ms,recovery_latency_ms,aggregation_completeness,loss_exposure_fraction,communication_overhead_KB,system_availability,queue_utilization,recovery_frequency,scheduling_latency_ms,state_refresh_ms,workload_imbalance,processing_overhead_ms,energy_joules,scheduling_comm_kb,recomputation_overhead_ms,reused_microslot_count
0,10.204902,0.003442,1.000366,0.000000,0.000000,1.000000,0.772485,1,0.000243,0.002524,5.206965,10.079782,1.511967,1.562500,0.000000,0.000000
1,10.217711,0.003451,1.000433,0.000000,0.000000,1.000000,0.783208,1,0.000289,0.002247,4.675518,10.105088,1.515763,1.562500,0.000000,0.000000
2,10.513302,0.003796,1.000513,0.000000,0.000000,1.000000,0.793760,1,0.000468,0.002104,4.199589,10.411878,1.561782,1.562500,0.000000,0.000000
3,10.243750,0.003239,1.000592,0.000000,0.000000,1.000000,0.804195,1,0.000131,0.002156,3.770674,10.152436,1.522865,1.562500,0.000000,0.000000
4,10.311005,0.003244,1.000672,0.000000,0.000000,1.000000,0.814448,1,0.000215,0.002455,3.384537,10.228792,1.534319,1.562500,0.000000,0.000000
5,10.475613,0.003385,1.000732,0.000000,0.000000,1.000000,0.823972,1,0.000134,0.002747,3.037045,10.401598,1.560240,1.562500,0.000000,0.000000
6,10.322983,0.003251,1.000815,0.000000,0.000000,1.000000,0.833391,1,0.000353,0.002067,2.727954,10.256273,1.538441,1.562500,0.000000,0.000000
7,10.366996,0.003017,1.000908,0.000000,0.000000,1.000000,0.842558,1,0.000249,0.003011,2.449024,10.306888,1.546033,1.562500,0.000000,0.000000
8,10.299801,0.003579,1.000986,0.000000,0.000000,1.000000,0.851009,1,0.000206,0.002414,2.195952,10.235576,1.535336,1.562500,0.000000,0.000000
9,10.340240,0.003255,1.001040,0.000000,0.000000,1.000000,0.858067,1,0.000375,0.002260,1.968608,10.281428,1.542214,1.562500,0.000000,0.000000
10,10.173155,0.003335,1.001102,0.000000,0.000000,1.000000,0.864974,1,0.000116,0.002576,1.767224,10.119136,1.517870,1.562500,0.000000,0.000000
11,10.094805,0.003452,1.001182,0.000000,0.000000,1.000000,0.871297,1,0.000438,0.002875,1.587499,10.045085,1.506763,1.562500,0.000000,0.000000
12,10.370383,0.011301,1.001243,0.000000,0.000000,1.000000,0.877391,1,0.000560,0.002260,1.425349,10.314308,1.547146,1.562500,0.000000,0.000000
13,10.232334,0.003225,1.001334,0.000000,0.000000,1.000000,0.882058,1,0.000249,0.002609,1.280444,10.143217,1.521483,1.562500,0.000000,0.000000
14,10.139811,0.004095,1.001346,0.000000,0.000000,1.000000,0.887178,1,0.000229,0.002400,1.149159,10.037079,1.505562,1.562500,0.000000,0.000000
15,10.478664,0.003282,1.001455,0.000000,0.000000,1.000000,0.891357,1,0.000215,0.003097,1.035197,10.347848,1.552177,1.562500,0.000000,0.000000
16,10.359360,0.003061,1.001480,0.000000,0.000000,1.000000,0.895585,1,0.000213,0.002217,0.930711,10.216851,1.532528,1.562500,0.000000,0.000000
17,10.380167,0.000000,0.997913,0.000000,0.000000,1.000000,0.899418,0,0.000262,0.002237,0.839643,10.213167,1.531975,1.562500,0.000000,0.000000
18,10.273573,0.000000,0.998251,0.000000,0.000000,1.000000,0.902624,0,0.000419,0.003087,0.757833,10.084173,1.512626,1.562500,0.000000,0.000000
19,10.364150,0.000000,0.998577,0.000000,0.000000,1.000000,0.905872,0,0.000240,0.002337,0.685649,10.153846,1.523077,1.562500,0.000000,0.000000
20,10.257580,0.000000,0.998882,0.000000,0.000000,1.000000,0.908991,0,0.000502,0.002365,0.623041,10.048980,1.507347,1.562500,0.000000,0.000000
21,10.241585,0.000000,0.999145,0.000000,0.000000,1.000000,0.911623,0,0.000229,0.002225,0.569596,10.013084,1.501963,1.562500,0.000000,0.000000
22,10.477092,0.000000,0.999409,0.000000,0.000000,1.000000,0.914264,0,0.000451,0.002526,0.522017,10.239691,1.535954,1.562500,0.000000,0.000000
23,10.352285,0.000000,0.999636,0.000000,0.000000,1.000000,0.916407,0,0.000223,0.002900,0.483207,10.116083,1.517413,1.562500,0.000000,0.000000
24,10.362184,0.000000,0.999825,0.000000,0.000000,1.000000,0.918522,0,0.000309,0.002455,0.449964,10.127087,1.519063,1.562500,0.000000,0.000000
25,10.567647,0.000000,1.000025,0.000000,0.000000,1.000000,0.920503,0,0.000319,0.002056,0.422013,10.342841,1.551426,1.562500,0.000000,0.000000
26,10.452291,0.000000,1.000201,0.000000,0.000000,1.000000,0.922339,0,0.000623,0.010940,0.399146,10.227492,1.534124,1.562500,0.000000,0.000000
27,10.594456,0.000000,1.000555,0.000000,0.000000,1.000000,0.924024,0,0.000367,0.002126,0.380985,10.369655,1.555448,1.562500,0.000000,0.000000
28,10.379431,0.000000,1.000313,0.000000,0.000000,1.000000,0.925370,0,0.000458,0.002600,0.367156,10.154630,1.523195,1.562500,0.000000,0.000000
29,10.315189,0.000000,1.000680,0.000000,0.000000,1.000000,0.926875,0,0.000246,0.002806,0.355490,10.090390,1.513558,1.562500,0.000000,0.000000
30,10.088733,0.003516,1.000366,0.000000,0.000000,1.000000,0.772485,1,0.000374,0.002524,5.206965,9.963617,1.494542,1.562500,0.000000,0.000000
31,10.110832,0.003504,1.000433,0.000000,0.000000,1.000000,0.783208,1,0.000354,0.002548,4.675518,9.998213,1.499732,1.562500,0.000000,0.000000
32,10.519868,0.003206,1.000513,0.000000,0.000000,1.000000,0.793760,1,0.000133,0.002914,4.199589,10.418447,1.562767,1.562500,0.000000,0.000000
33,10.318226,0.003563,1.000592,0.000000,0.000000,1.000000,0.804195,1,0.000198,0.002350,3.770674,10.226906,1.534036,1.562500,0.000000,0.000000
34,10.187333,0.003628,1.000672,0.000000,0.000000,1.000000,0.814448,1,0.000341,0.002158,3.384537,10.105113,1.515767,1.562500,0.000000,0.000000
35,10.423509,0.003642,1.000732,0.000000,0.000000,1.000000,0.823972,1,0.000350,0.002110,3.037045,10.349486,1.552423,1.562500,0.000000,0.000000
36,10.180895,0.003225,1.000815,0.000000,0.000000,1.000000,0.833391,1,0.000119,0.002311,2.727954,10.114183,1.517127,1.562500,0.000000,0.000000
37,10.287172,0.003474,1.000908,0.000000,0.000000,1.000000,0.842558,1,0.000209,0.002411,2.449024,10.227055,1.534058,1.562500,0.000000,0.000000
38,10.209563,0.003481,1.000986,0.000000,0.000000,1.000000,0.851009,1,0.000396,0.002408,2.195952,10.145338,1.521801,1.562500,0.000000,0.000000
39,10.109196,0.003317,1.001040,0.000000,0.000000,1.000000,0.858067,1,0.000349,0.002337,1.968608,10.050380,1.507557,1.562500,0.000000,0.000000
40,10.026584,0.003089,1.001102,0.000000,0.000000,1.000000,0.864974,1,0.000234,0.002659,1.767224,9.972567,1.495885,1.562500,0.000000,0.000000
41,10.028212,0.003194,1.001182,0.000000,0.000000,1.000000,0.871297,1,0.000349,0.002159,1.587499,9.978497,1.496774,1.562500,0.000000,0.000000
42,10.306217,0.003107,1.001243,0.000000,0.000000,1.000000,0.877391,1,0.000423,0.002380,1.425349,10.250305,1.537546,1.562500,0.000000,0.000000
43,10.227118,0.003074,1.001334,0.000000,0.000000,1.000000,0.882058,1,0.000281,0.002313,1.280444,10.138006,1.520701,1.562500,0.000000,0.000000
44,10.248906,0.003190,1.001346,0.000000,0.000000,1.000000,0.887178,1,0.000357,0.002058,1.149159,10.146191,1.521929,1.562500,0.000000,0.000000
45,10.510140,0.003472,1.001455,0.000000,0.000000,1.000000,0.891357,1,0.000232,0.002275,1.035197,10.379320,1.556898,1.562500,0.000000,0.000000
